Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Pos2,Born,College,From,To,G,MP,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
1,2003,NBA,1,1,CLE,LeBron James,18.182,F,G,us,,2004,2018,1122,38.8,27.1,7.3,7.1,1.6,0.8,0.503,0.546,0.343,0.74,215.2,0.237
2,2005,NBA,1,4,NOH,Chris Paul,20.058,G,,us,Wake Forest University,2006,2018,877,35.4,18.7,4.5,9.8,2.3,0.1,0.472,0.505,0.371,0.868,162.4,0.251
3,2001,NBA,1,3,ATL,Pau Gasol,20.361,F,C,es,,2002,2018,1177,34.2,17.5,9.4,3.2,0.5,1.6,0.508,0.512,0.375,0.754,141.9,0.169
4,2007,NBA,1,2,SEA,Kevin Durant,18.276,F,G,us,University of Texas at Austin,2008,2018,758,37.2,27.1,7.1,3.9,1.2,1.1,0.49,0.527,0.384,0.882,128.6,0.219
5,2004,NBA,1,1,ORL,Dwight Howard,18.203,C,,us,,2005,2018,1017,34.6,17.3,12.6,1.5,1,2,0.583,0.585,0.083,0.565,126.1,0.172
6,2003,NBA,1,5,MIA,Dwyane Wade,21.165,G,,us,Marquette University,2004,2018,968,34.7,22.6,4.8,5.5,1.6,0.9,0.483,0.504,0.289,0.767,118.5,0.169
7,2001,NBA,1,28,SAS,Tony Parker,19.046,G,,be,,2002,2018,1178,31.3,16,2.8,5.7,0.9,0.1,0.493,0.512,0.326,0.752,110.2,0.143
8,2003,NBA,1,4,TOR,Chris Bosh,19.098,F,C,us,Georgia Institute of Technology,2004,2016,893,35.8,19.2,8.5,2,0.8,1,0.494,0.506,0.335,0.799,106,0.159
9,2009,NBA,1,3,OKC,James Harden,19.308,G,,us,Arizona State University,2010,2018,669,33.8,22.9,5,6,1.5,0.5,0.443,0.501,0.366,0.855,103.4,0.22
10,2003,NBA,1,3,DEN,Carmelo Anthony,19.032,F,,us,Syracuse University,2004,2018,1037,36,24.3,6.6,3,1,0.5,0.45,0.473,0.346,0.812,100.2,0.129
11,2001,NBA,1,2,LAC,Tyson Chandler,18.273,C,,us,,2002,2018,1075,28.3,8.6,9.4,0.9,0.6,1.2,0.595,0.596,0,0.646,99.1,0.156
12,2006,NBA,1,2,CHI,LaMarcus Aldridge,20.349,F,C,us,University of Texas at Austin,2007,2018,851,34.6,19.3,8.3,1.9,0.8,1,0.487,0.493,0.295,0.805,94.7,0.154
13,2009,NBA,1,7,GSW,Stephen Curry,21.108,G,,us,Davidson College,2010,2018,622,34.5,23.1,4.4,6.8,1.8,0.2,0.477,0.512,0.436,0.903,92.9,0.208
14,2002,NBA,1,9,PHO,Amar'e Stoudemire,19.227,F,C,us,,2003,2016,846,31,18.9,7.8,1.2,0.8,1.2,0.537,0.54,0.236,0.761,92.5,0.169
15,2004,NBA,1,9,PHI,Andre Iguodala,20.153,G,F,us,University of Arizona,2005,2018,1030,34.2,12.6,5.2,4.4,1.5,0.5,0.465,0.515,0.333,0.713,91.8,0.125
16,2008,NBA,1,4,SEA,Russell Westbrook,19.231,G,,us,"University of California, Los Angeles",2009,2018,730,34.3,22.9,6.5,8.1,1.7,0.3,0.434,0.463,0.31,0.816,87.7,0.168
17,2003,NBA,1,18,NOH,David West,22.306,F,,us,Xavier University,2004,2018,1020,28.4,13.7,6.4,2.2,0.7,0.8,0.496,0.5,0.266,0.817,85.7,0.142
18,2001,NBA,1,13,HOU,Richard Jefferson,21.011,F,,us,University of Arizona,2002,2018,1177,29.1,12.7,4,2,0.7,0.3,0.464,0.493,0.376,0.768,83,0.116
19,2001,NBA,1,10,BOS,Joe Johnson,20.003,G,F,us,University of Arkansas,2002,2018,1258,34.9,16.1,4,3.9,0.8,0.2,0.442,0.472,0.372,0.802,82.4,0.09
20,2001,NBA,1,19,POR,Zach Randolph,19.351,F,C,us,Michigan State University,2002,2018,1109,31.1,16.7,9.2,1.8,0.7,0.3,0.472,0.481,0.274,0.764,81.1,0.113
21,2006,NBA,2,47,UTA,Paul Millsap,21.143,F,,us,Louisiana Tech University,2007,2018,855,29.5,14.2,7.4,2.3,1.3,1,0.491,0.513,0.329,0.736,80.6,0.154
22,2002,NBA,2,35,CLE,Carlos Boozer,20.223,F,C,de,Duke University,2003,2015,861,31.2,16.2,9.5,2.2,0.9,0.4,0.521,0.522,0.071,0.722,80.3,0.143
23,2005,NBA,1,3,UTA,Deron Williams,21.007,G,,us,University of Illinois at Urbana-Champaign,2006,2017,845,34.2,16.3,3.1,8.1,1,0.2,0.445,0.482,0.357,0.822,77.3,0.129
24,2006,NBA,1,24,MEM,Kyle Lowry,20.1,G,,us,Villanova University,2007,2018,771,31,14.4,4.2,5.8,1.4,0.3,0.424,0.465,0.368,0.802,77.3,0.155
