,,,,,,,,,,,,,,Per Game,,,,,,Shooting,,,,Advanced,
Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,MP,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
1,2011,NBA,1,1,CLE,Kyrie Irving,19.096,G,au,Duke University,2012,2018,438,34,22,3.4,5.5,1.3,0.3,0.462,0.493,0.388,0.875,49.3,0.159
2,2012,NBA,1,1,NOH,Anthony Davis,19.114,F-C,us,University of Kentucky,2013,2018,390,34.7,23.2,10.3,1.8,1.3,2.3,0.517,0.53,0.307,0.793,58.9,0.209
3,2013,NBA,1,1,CLE,Anthony Bennett,20.11,F,ca,"University of Nevada, Las Vegas",2014,2017,151,12.6,4.4,3.1,0.5,0.4,0.2,0.392,0.427,0.261,0.67,0.5,0.013
4,2014,NBA,1,1,CLE,Andrew Wiggins,19.128,F-G,ca,University of Kansas,2015,2018,310,36.2,19.8,4.1,2.1,1,0.5,0.448,0.474,0.327,0.744,12,0.051
5,2015,NBA,1,1,MIN,Karl-Anthony Towns,19.227,C-F,us,University of Kentucky,2016,2018,229,34.7,21.4,11.6,2.3,0.7,1.5,0.543,0.576,0.38,0.835,31.9,0.192
6,2016,NBA,1,1,PHI,Ben Simmons,19.343,G-F,au,Louisiana State University,2018,2018,59,34.7,16.6,7.7,7.4,1.8,0.9,0.533,0.54,0,0.571,5.8,0.135
7,2017,NBA,1,1,PHI,Markelle Fultz,19.029,G,us,University of Washington,2018,2018,4,19,6,2.3,1.8,0.5,0.3,0.333,0.333,,0.5,-0.1,-0.085
8,2011,NBA,1,2,MIN,Derrick Williams,20.034,F,us,University of Arizona,2012,2017,426,20.8,8.9,4,0.7,0.5,0.3,0.434,0.484,0.3,0.71,14.1,0.076
9,2012,NBA,1,2,CHA,Michael Kidd-Gilchrist,18.28,F,us,University of Kentucky,2013,2018,337,26.9,9.2,6,1.3,0.7,0.8,0.477,0.481,0.194,0.708,18.4,0.098
10,2013,NBA,1,2,ORL,Victor Oladipo,21.059,G,us,Indiana University,2014,2018,346,33.4,17.2,4.5,3.8,1.6,0.5,0.443,0.481,0.351,0.802,20.1,0.083
11,2014,NBA,1,2,MIL,Jabari Parker,19.108,F,us,Duke University,2015,2018,162,31.3,15.5,5.5,2,1,0.4,0.491,0.51,0.347,0.751,9.4,0.089
12,2015,NBA,1,2,LAL,D'Angelo Russell,19.127,G,us,Ohio State University,2016,2018,172,27.9,14.5,3.5,4.2,1.2,0.2,0.41,0.456,0.342,0.755,1.3,0.013
13,2016,NBA,1,2,LAL,Brandon Ingram,18.299,F,us,Duke University,2017,2018,136,30.9,12.2,4.6,2.8,0.7,0.6,0.437,0.465,0.324,0.659,2.5,0.029
14,2017,NBA,1,2,LAL,Lonzo Ball,19.243,G,us,"University of California, Los Angeles",2018,2018,39,33.3,10.2,7.1,7,1.6,0.8,0.365,0.407,0.324,0.491,1.5,0.056
15,2011,NBA,1,3,UTA,Enes Kanter,19.038,C,ch,,2012,2018,503,21.8,11.6,7.2,0.7,0.4,0.5,0.539,0.545,0.294,0.778,32.8,0.143
16,2012,NBA,1,3,WAS,Bradley Beal,19.005,G,us,University of Florida,2013,2018,386,33.8,18.6,3.7,3.3,1.1,0.3,0.445,0.473,0.394,0.795,27.7,0.102
17,2013,NBA,1,3,WAS,Otto Porter,20.029,F,us,Georgetown University,2014,2018,324,26.2,10.3,4.8,1.3,1.1,0.4,0.485,0.535,0.396,0.791,24.1,0.137
18,2014,NBA,1,3,PHI,Joel Embiid,20.107,C,cm,University of Kansas,2017,2018,80,29.1,22.4,9.9,2.8,0.8,2,0.482,0.521,0.335,0.775,7.1,0.146
19,2015,NBA,1,3,PHI,Jahlil Okafor,19.197,C-F,us,Duke University,2016,2018,127,23.9,13.1,5.4,1.1,0.4,1,0.512,0.515,0.111,0.682,2.9,0.046
20,2016,NBA,1,3,BOS,Jaylen Brown,19.247,F-G,us,University of California,2017,2018,136,23.1,9.8,3.9,1.2,0.7,0.3,0.455,0.509,0.362,0.644,5.2,0.079
21,2017,NBA,1,3,BOS,Jayson Tatum,19.116,F,us,Duke University,2018,2018,63,30.5,13.3,5,1.4,0.9,0.8,0.473,0.49,0.432,0.829,5.6,0.139
22,2011,NBA,1,4,CLE,Tristan Thompson,20.107,F-C,ca,University of Texas at Austin,2012,2018,507,28.1,9.1,8.5,0.8,0.5,0.7,0.518,0.52,0,0.609,37,0.125
23,2012,NBA,1,4,CLE,Dion Waiters,20.206,G,us,Syracuse University,2013,2018,365,28.7,13.3,2.7,2.8,1,0.3,0.412,0.441,0.341,0.701,7.5,0.034
24,2013,NBA,1,4,CHA,Cody Zeller,20.27,C-F,us,Indiana University,2014,2018,309,22.6,7.9,5.6,1.3,0.7,0.8,0.501,0.503,0.25,0.731,20,0.137
25,2014,NBA,1,4,ORL,Aaron Gordon,18.288,F,us,University of Arizona,2015,2018,248,25.8,11.1,5.8,1.7,0.7,0.6,0.455,0.521,0.309,0.701,12.5,0.094
26,2015,NBA,1,4,NYK,Kristaps Porzingis,19.332,F-C,lv,,2016,2018,186,31,17.8,7.1,1.3,0.7,2,0.437,0.468,0.36,0.804,12.4,0.103
27,2016,NBA,1,4,PHO,Dragan Bender,18.223,F,ba,,2017,2018,106,19.5,5,3.3,1,0.3,0.6,0.378,0.434,0.347,0.644,-0.3,-0.006
28,2017,NBA,1,4,PHO,Josh Jackson,20.137,F-G,us,University of Kansas,2018,2018,61,23.8,11.7,4.3,1.3,0.9,0.5,0.411,0.46,0.266,0.624,-0.5,-0.018
29,2011,NBA,1,5,TOR,Jonas Valanciunas,19.052,C,lt,,2013,2018,419,25.6,11.5,8.5,0.7,0.4,1,0.557,0.559,0.44,0.785,38.8,0.174
30,2012,NBA,1,5,SAC,Thomas Robinson,21.109,F,us,University of Kansas,2013,2017,313,13.4,4.9,4.8,0.6,0.5,0.4,0.47,0.472,0,0.505,4.6,0.053
31,2013,NBA,1,5,PHO,Alex Len,20.016,C,ua,University of Maryland,2014,2018,319,19.9,7.1,6.5,0.8,0.4,1,0.481,0.484,0.227,0.713,11.4,0.086
32,2014,NBA,1,5,UTA,Dante Exum,18.353,G,au,,2015,2017,148,20.6,5.4,1.8,2.1,0.4,0.2,0.385,0.473,0.308,0.743,1.1,0.017
33,2015,NBA,1,5,ORL,Mario Hezonja,20.125,F-G,hr,,2016,2018,198,17.4,6.5,2.6,1.2,0.6,0.2,0.422,0.487,0.338,0.84,1.9,0.026
