DATE,RGDPNABRA666NRUG_PCH
1951-01-01,4.90000
1952-01-01,7.29999
1953-01-01,4.70000
1954-01-01,7.80000
1955-01-01,8.80000
1956-01-01,2.90000
1957-01-01,7.70000
1958-01-01,10.80000
1959-01-01,9.80000
1960-01-01,9.40001
1961-01-01,8.59999
1962-01-01,6.60000
1963-01-01,0.60000
1964-01-01,3.40000
1965-01-01,2.40000
1966-01-01,6.70000
1967-01-01,4.20000
1968-01-01,9.80000
1969-01-01,9.50000
1970-01-01,10.40000
1971-01-01,11.30000
1972-01-01,11.90000
1973-01-01,14.00000
1974-01-01,8.19999
1975-01-01,5.20001
1976-01-01,10.30000
1977-01-01,4.90000
1978-01-01,5.00000
1979-01-01,6.80001
1980-01-01,9.20000
1981-01-01,-4.30000
1982-01-01,0.80000
1983-01-01,-2.90000
1984-01-01,5.40000
1985-01-01,7.80000
1986-01-01,7.50000
1987-01-01,3.50000
1988-01-01,-0.10000
1989-01-01,3.20000
1990-01-01,-4.30000
1991-01-01,1.00000
1992-01-01,-0.50000
1993-01-01,4.90000
1994-01-01,5.90000
1995-01-01,4.20000
1996-01-01,2.20000
1997-01-01,3.40000
1998-01-01,0.40000
1999-01-01,0.50000
2000-01-01,4.40000
2001-01-01,1.30000
2002-01-01,3.10000
2003-01-01,1.20000
2004-01-01,5.70001
2005-01-01,3.10000
2006-01-01,4.00000
2007-01-01,6.00000
2008-01-01,5.00000
2009-01-01,-0.20000
2010-01-01,7.60000
2011-01-01,3.90000
2012-01-01,1.80000
2013-01-01,2.70000
2014-01-01,0.09999
