Rk,Player,Age,Pos,Date,Tm,,Opp,,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
1,Semaj Christon,23-360,G,2016-10-26 *,OKC,@,PHI,W,0,15,2,5,0.4,2,4,0.5,0,1,0,0,0,,0,1,1,4,0,0,0,1,4,4
2,Victor Oladipo,24-175,G,2016-10-26 *,OKC,@,PHI,W,1,26,4,16,0.25,4,11,0.364,0,5,0,2,3,0.667,2,3,5,1,0,1,3,2,10,-0.1
3,Russell Westbrook,27-349,G,2016-10-26 *,OKC,@,PHI,W,1,36,11,21,0.524,10,19,0.526,1,2,0.5,9,11,0.818,1,11,12,9,0,0,2,2,32,28.4
4,Semaj Christon,23-362,G,2016-10-28 *,OKC,,PHO,W,0,11,1,4,0.25,1,4,0.25,0,0,,0,2,0,1,1,2,0,0,1,1,0,2,-0.5
5,Victor Oladipo,24-177,G,2016-10-28 *,OKC,,PHO,W,1,44,7,17,0.412,6,13,0.462,1,4,0.25,6,7,0.857,1,4,5,2,2,1,4,2,21,12.7
6,Russell Westbrook,27-351,G,2016-10-28 *,OKC,,PHO,W,1,45,17,44,0.386,15,34,0.441,2,10,0.2,15,20,0.75,3,10,13,10,2,0,5,3,51,32.9
7,Semaj Christon,23-364,G,2016-10-30 *,OKC,,LAL,W,0,20,2,6,0.333,1,5,0.2,1,1,1,0,1,0,0,0,0,2,2,0,1,1,5,3.2
8,Anthony Morrow,31-033,G,2016-10-30 *,OKC,,LAL,W,0,6,3,5,0.6,3,4,0.75,0,1,0,0,0,,0,0,0,1,1,0,0,1,6,5
9,Victor Oladipo,24-179,G,2016-10-30 *,OKC,,LAL,W,1,38,7,20,0.35,4,13,0.308,3,7,0.429,3,3,1,0,1,1,4,1,0,3,3,20,8.7
10,Russell Westbrook,27-353,G,2016-10-30 *,OKC,,LAL,W,1,34,11,21,0.524,6,15,0.4,5,6,0.833,6,6,1,4,7,11,16,1,1,7,3,33,32.3
11,Semaj Christon,24-001,G,2016-11-02 *,OKC,@,LAC,W,0,15,3,7,0.429,3,7,0.429,0,0,,0,0,,1,1,2,0,0,0,2,3,6,0.1
12,Anthony Morrow,31-036,G,2016-11-02 *,OKC,@,LAC,W,0,10,1,3,0.333,1,3,0.333,0,0,,0,0,,0,0,0,0,1,0,0,1,2,0.9
13,Victor Oladipo,24-182,G,2016-11-02 *,OKC,@,LAC,W,1,33,3,11,0.273,2,6,0.333,1,5,0.2,2,3,0.667,0,5,5,1,0,0,0,2,9,3.5
14,Russell Westbrook,27-356,G,2016-11-02 *,OKC,@,LAC,W,1,33,14,30,0.467,14,23,0.609,0,7,0,7,9,0.778,1,5,6,5,3,0,10,4,35,15.9
15,Semaj Christon,24-002,G,2016-11-03 *,OKC,@,GSW,L,0,19,2,6,0.333,2,4,0.5,0,2,0,0,0,,1,2,3,3,2,0,1,2,4,4.2
16,Anthony Morrow,31-037,G,2016-11-03 *,OKC,@,GSW,L,0,9,0,2,0,0,0,,0,2,0,0,0,,0,0,0,0,0,0,1,0,0,-2.4
17,Victor Oladipo,24-183,G,2016-11-03 *,OKC,@,GSW,L,1,30,8,13,0.615,4,7,0.571,4,6,0.667,1,4,0.25,0,3,3,0,0,0,0,2,21,14
18,Russell Westbrook,27-357,G,2016-11-03 *,OKC,@,GSW,L,1,29,4,15,0.267,2,11,0.182,2,4,0.5,10,14,0.714,1,5,6,10,1,2,6,3,20,13.9
19,Semaj Christon,24-004,G,2016-11-05 *,OKC,,MIN,W,0,20,4,8,0.5,4,7,0.571,0,1,0,2,2,1,0,0,0,5,0,0,0,3,10,8.3
20,Victor Oladipo,24-185,G,2016-11-05 *,OKC,,MIN,W,1,31,5,9,0.556,4,7,0.571,1,2,0.5,1,3,0.333,0,3,3,1,1,0,1,0,12,8.5
21,Russell Westbrook,27-359,G,2016-11-05 *,OKC,,MIN,W,1,28,9,18,0.5,5,13,0.385,4,5,0.8,6,8,0.75,2,4,6,8,3,0,2,3,28,26.2
22,Semaj Christon,24-006,G,2016-11-07 *,OKC,,MIA,W,0,21,1,4,0.25,1,4,0.25,0,0,,0,0,,1,3,4,6,0,0,1,0,2,4.4
23,Victor Oladipo,24-187,G,2016-11-07 *,OKC,,MIA,W,1,33,6,9,0.667,5,7,0.714,1,2,0.5,4,4,1,0,2,2,2,0,0,1,1,17,13.7
24,Russell Westbrook,27-361,G,2016-11-07 *,OKC,,MIA,W,1,27,5,16,0.313,4,10,0.4,1,6,0.167,3,3,1,2,3,5,11,0,0,5,2,14,9
25,Semaj Christon,24-008,G,2016-11-09 *,OKC,,TOR,L,0,16,0,1,0,0,0,,0,1,0,0,0,,0,3,3,3,0,0,1,2,0,0.5
26,Anthony Morrow,31-043,G,2016-11-09 *,OKC,,TOR,L,0,9,1,3,0.333,1,1,1,0,2,0,0,0,,0,1,1,0,0,0,1,0,2,-0.4
